IMPUTATION;ANNEE;CATEGORIE;TITRE;ADRESSE URL;icon
M TOURISME;2015;;8 - Usages d'OpenStreetMap et du big data pour l'accessibilité;https://www.youtube.com/watch?v=POXK8dSUsRs;
M TOURISME;2015;;9 - Enquête nationale d’accessibilité aux Data dans le Tourisme par Isabelle Richard - DGE;https://www.youtube.com/watch?v=jMWUJ7tcaFs;
Challenge Jeunes Pousses;2015;;Concours Challenge Jeunes Pousses - Entrepreneuriat étudiant;https://www.youtube.com/watch?v=FRE9wnaftE8;
SOFAB;;;;;TV/icones/videos_sofab.png
SOFAB;2015;;Fête des makers de SoFAB à SophiaConf - 7 juillet 2015, Sophia Antipolis;https://www.youtube.com/watch?v=I5M2v3dGzAY;
OPEN SOURCE;2015;SophiaConf 2015;M. Paonessa (Jaguar Network) votre infrastructure cloud est elle sécurisée?;https://www.youtube.com/watch?v=RjQ6heAjfYY;
OPEN SOURCE;2015;SophiaConf 2015;B. Peccatte (Normation) M. Longuet (Itika) configuration de vos serveurs avec Rudder;https://www.youtube.com/watch?v=tz6KH7QQW0w;
OPEN SOURCE;2015;SophiaConf 2015;A. Moussine Pouchkine (Google) - Comment Google gère l’entropie de son …;https://www.youtube.com/watch?v=hf4Xn76SmZw;
OPEN SOURCE;2015;SophiaConf 2015;A. Rizal E. Bastien (Amadeus) - Data Science et Big Data industrie voyage tourisme;https://www.youtube.com/watch?v=vCmkRvKQs5w;
OPEN SOURCE;2015;SophiaConf 2015;C. Charreyre (CIO Systèmes Embarqués) - Yocto;https://www.youtube.com/watch?v=FoRCEsZ4PKs;
OPEN SOURCE;2015;SophiaConf 2015;C. de Dinechin (Taodyne) - Inventer le langage de l’Internet of Things;https://www.youtube.com/watch?v=D04Z53b-aUA;
OPEN SOURCE;2015;SophiaConf 2015;F. De Simoni L. Saadi - Opennebula & son écosystème pour infrastructure cloud agile;https://www.youtube.com/watch?v=8PoG6AYN5ws;
OPEN SOURCE;2015;SophiaConf 2015;F. Donnat (SecludIT) - Détectez les points faibles de vos machines avec OpenVAS;https://www.youtube.com/watch?v=PLBbWZJiSyg;
OPEN SOURCE;2015;SophiaConf 2015;F. Precioso (UNS) - Les mathématiques au secours de nos données;https://www.youtube.com/watch?v=TAr30i30MEA;
